TimeStamp (UTC),WindDirection Avg,WindSpeed Avg,WindSpeed StdDev,T AMB Avg,In AirDensity Avg
2021-01-01 06:00:00+00:00,,5.110103453,,-0.896896547,
2021-01-01 07:00:00+00:00,,5.221428577,,-0.847589281,
2021-01-01 08:00:00+00:00,,5.411666711,,-1,
2021-01-01 09:00:00+00:00,,4.855000019,,-1,
2021-01-01 10:00:00+00:00,,4.369629631,,-0.398101848,
2021-01-01 11:00:00+00:00,,4.609144145,,-0.598333331,
2021-01-01 12:00:00+00:00,,5.981666644,,-1.00999999,
2021-01-01 13:00:00+00:00,,7.025000016,,-1.936666667,
2021-01-01 14:00:00+00:00,,6.674768532,,-0.046064806,
2021-01-01 15:00:00+00:00,,7.108333349,,-1.24666667,
2021-01-01 16:00:00+00:00,,7.699999968,,-1.041666667,
2021-01-01 17:00:00+00:00,,7.118333419,,1.618333305,
2021-01-01 18:00:00+00:00,,5.390283021,,3.88135221,
2021-01-01 19:00:00+00:00,,4.352295606,,6.086698122,
2021-01-01 20:00:00+00:00,,3.909339624,,7.193176099,
2021-01-01 21:00:00+00:00,,4.527515726,,5.672830199,
2021-01-01 22:00:00+00:00,,4.180503149,,5.717028309,
2021-01-01 23:00:00+00:00,,4.196635219,,4.472012588,
2021-01-02 00:00:00+00:00,,4.65452831,,3.791415099,
2021-01-02 01:00:00+00:00,199.9652037,5.00017501,0.703736905,3.938714161,1.12337527
2021-01-02 02:00:00+00:00,197.4617038,5.285359374,0.727263938,4.348903169,1.121618914
2021-01-02 03:00:00+00:00,198.1784504,5.924621274,0.748845155,4.552260641,1.121017048
2021-01-02 04:00:00+00:00,201.0023838,6.362233752,0.776758427,4.675111057,1.120524026
2021-01-02 05:00:00+00:00,198.5646011,7.224715293,0.799392946,4.691740432,1.119933619
2021-01-02 06:00:00+00:00,198.1459536,6.609113421,0.793648751,4.344549158,1.121241683
2021-01-02 07:00:00+00:00,197.7304455,6.559078274,0.796638813,4.516760207,1.121222386
2021-01-02 08:00:00+00:00,196.1342001,5.848699269,0.724313235,4.855372433,1.120169585
2021-01-02 09:00:00+00:00,190.6654758,6.66792019,0.766522332,5.200664135,1.119106058
2021-01-02 10:00:00+00:00,189.6375706,7.116638678,0.767389346,4.933681143,1.120023398
2021-01-02 11:00:00+00:00,191.4809844,6.436666655,0.761840208,4.528872078,1.121372172
2021-01-02 12:00:00+00:00,193.6716525,6.330591571,0.755347504,4.514985947,1.121627221
2021-01-02 13:00:00+00:00,194.1988146,5.636736633,0.713415581,4.804867936,1.120584239
2021-01-02 14:00:00+00:00,,5.814905661,,7.06679245,
2021-01-02 15:00:00+00:00,194.9575824,6.129263268,0.740801671,8.419396581,1.106252368
2021-01-02 16:00:00+00:00,195.2529742,6.070123174,0.789658483,8.816872419,1.104815334
2021-01-02 17:00:00+00:00,195.578989,6.076250564,0.701789017,9.880789042,1.100505345
2021-01-02 18:00:00+00:00,191.3442549,5.643606195,0.804637422,10.36210719,1.099644182
2021-01-02 19:00:00+00:00,185.7180012,5.914757804,0.866491056,10.50431236,1.099175536
2021-01-02 20:00:00+00:00,184.4977808,4.867065358,0.795358499,11.31113836,1.096786528
2021-01-02 21:00:00+00:00,178.6770041,5.226433252,0.778063074,11.13328989,1.097757387
2021-01-02 22:00:00+00:00,179.9700273,6.027991647,0.710030926,10.30190932,1.099934234
2021-01-02 23:00:00+00:00,179.1031314,6.674768642,0.760701123,9.496220814,1.102825738
2021-01-03 00:00:00+00:00,183.7739715,7.246482915,0.77325254,9.067382635,1.104956035
2021-01-03 01:00:00+00:00,183.9535648,7.673858869,0.846844816,8.836308031,1.105760027
2021-01-03 02:00:00+00:00,184.5772774,7.987400694,0.8766324,9.042827757,1.106065006
2021-01-03 03:00:00+00:00,189.8980513,9.149909447,1.035443045,9.487900397,1.104120781
2021-01-03 04:00:00+00:00,191.2540209,10.14045818,1.070937514,10.04824929,1.10201654
2021-01-03 05:00:00+00:00,187.7412165,9.5643719,1.001893224,10.31786119,1.101227562
2021-01-03 06:00:00+00:00,188.0594243,8.769997561,0.94162457,10.31358292,1.101086573
2021-01-03 07:00:00+00:00,188.9733252,8.283480489,0.97004817,9.996048708,1.102321333
2021-01-03 08:00:00+00:00,191.4009905,9.264054518,0.99735037,10.31542296,1.100761129
2021-01-03 09:00:00+00:00,193.5557057,10.44235987,1.027856773,10.40646113,1.099752007
2021-01-03 10:00:00+00:00,194.3717841,11.1863869,0.938904691,10.59226906,1.098686248
2021-01-03 11:00:00+00:00,192.1654633,10.29050963,0.968781089,10.87104488,1.097349419
2021-01-03 12:00:00+00:00,193.736259,9.025387506,0.911418052,11.3032719,1.095447721
2021-01-03 13:00:00+00:00,190.0208968,7.905372162,0.972995297,10.60296262,1.097450197
2021-01-03 14:00:00+00:00,188.0392066,8.566167226,0.907302452,11.88415653,1.093398225
2021-01-03 15:00:00+00:00,188.2809935,8.416541551,0.921022806,12.11834203,1.092270427
2021-01-03 16:00:00+00:00,190.7335467,6.74256916,0.836254897,12.42200993,1.090371401
2021-01-03 17:00:00+00:00,187.9020237,5.981417127,0.758610771,13.71800917,1.086387942
2021-01-03 18:00:00+00:00,188.4176584,5.548714583,0.77271993,14.40638834,1.084161193
2021-01-03 19:00:00+00:00,188.5247721,5.154174395,0.790014422,14.67075107,1.083028708
2021-01-03 20:00:00+00:00,184.2901683,5.205674886,0.794829246,14.95154182,1.0826912
2021-01-03 21:00:00+00:00,181.8339026,4.674840462,0.728572258,15.57663896,1.080924498
2021-01-03 22:00:00+00:00,184.3925011,3.591830089,0.721140867,16.04339881,1.079498822
2021-01-03 23:00:00+00:00,177.5551264,4.415388802,0.698860067,15.60524176,1.080951286
2021-01-04 00:00:00+00:00,179.9741506,4.706485959,0.640172408,14.94497742,1.083549
2021-01-04 01:00:00+00:00,182.1002033,4.765061362,0.611617906,14.86663635,1.083658603
2021-01-04 02:00:00+00:00,184.7234683,5.237073308,0.691312576,15.65529431,1.080736975
2021-01-04 03:00:00+00:00,188.4893488,6.322606856,0.882408249,15.39976186,1.08119646
2021-01-04 04:00:00+00:00,193.3188081,8.895266092,0.929969411,14.64521866,1.084317788
2021-01-04 05:00:00+00:00,194.1134623,7.257745337,0.803435104,15.02117805,1.082338813
2021-01-04 06:00:00+00:00,192.5927624,8.291888434,0.945983353,15.42633515,1.080321892
2021-01-04 07:00:00+00:00,191.8495498,8.206633257,0.939994418,15.65604293,1.080240697
2021-01-04 08:00:00+00:00,190.7152766,7.654390819,0.831353735,14.93613922,1.081974221
2021-01-04 09:00:00+00:00,197.7516256,7.519165185,0.870662323,14.35792152,1.083571396
2021-01-04 10:00:00+00:00,201.4248323,7.159428684,0.797041195,14.02971311,1.084945825
